name,description,formula,csf_function,priority_rank,direction,target_value,target_units,owner_function,data_source,collection_frequency,current_value,notes
"Data Classification Completeness","Percentage of data assets properly classified by sensitivity","Classified data assets / Total data assets * 100",id,2,higher_is_better,90.0,%,"Data Governance","Data classification tools",monthly,74.2,"Sensitivity labeling program"
"External Attack Surface Discovery","Number of externally facing assets discovered vs known","Discovered external assets / Known external assets",id,2,higher_is_better,1.0,ratio,SecOps,"External attack surface tools",weekly,1.12,"Should be close to 1.0"
"Business Impact Analysis Coverage","Percentage of business processes with completed BIA","Analyzed processes / Critical processes * 100",id,3,higher_is_better,80.0,%,BCP,"Business continuity system",quarterly,65.0,"Recovery priority analysis"
"MFA Coverage (Privileged Accounts)","Percentage of privileged accounts protected with multi-factor authentication","Privileged accounts with MFA / Total privileged accounts * 100",pr,1,higher_is_better,100.0,%,IAM,"Identity management system",weekly,94.2,"Admin and service accounts"
"Patch Compliance (Critical Severity)","Percentage of critical patches applied within SLA","Patched systems / Systems needing patches * 100",pr,1,higher_is_better,90.0,%,IT Ops,"Patch management system",weekly,82.7,"30-day SLA for critical"
"Email Security Gateway Effectiveness","Percentage of malicious emails blocked by email security","Blocked malicious emails / Total malicious emails * 100",pr,1,higher_is_better,99.0,%,SecOps,"Email security system",daily,97.8,"Anti-phishing and malware"
"Endpoint Protection Coverage","Percentage of endpoints with active security agent","Protected endpoints / Total endpoints * 100",pr,1,higher_is_better,100.0,%,IT Ops,"Endpoint management system",daily,99.1,"EDR/antivirus deployment"
"Data Encryption at Rest","Percentage of sensitive data encrypted at rest","Encrypted sensitive data / Total sensitive data * 100",pr,2,higher_is_better,95.0,%,"Data Security","Data loss prevention system",monthly,89.3,"Database and file encryption"
"Network Segmentation Compliance","Percentage of network segments properly configured","Compliant segments / Total segments * 100",pr,2,higher_is_better,90.0,%,"Network Security","Network monitoring tools",monthly,85.1,"VLAN and firewall rules"
"Access Review Completion Rate","Percentage of scheduled access reviews completed on time","Completed reviews / Scheduled reviews * 100",pr,2,higher_is_better,95.0,%,IAM,"Identity governance system",monthly,88.7,"Quarterly access certifications"
"Backup Success Rate","Percentage of scheduled backups completed successfully","Successful backups / Total backup attempts * 100",pr,2,higher_is_better,98.0,%,"Backup Admin","Backup monitoring system",daily,96.4,"Daily automated backups"
"Security Configuration Compliance","Percentage of systems meeting security configuration standards","Compliant systems / Total systems * 100",pr,3,higher_is_better,85.0,%,IT Ops,"Configuration management",weekly,81.2,"CIS benchmarks and hardening"
"Web Application Firewall Coverage","Percentage of web applications protected by WAF","Protected web apps / Total web apps * 100",pr,3,higher_is_better,90.0,%,"App Security","WAF management system",weekly,76.3,"External-facing applications"
"Mean Time to Detect (MTTD)","Average time from security event to detection","Sum of detection times / Number of incidents",de,1,lower_is_better,24.0,hours,SecOps,"SIEM system",monthly,18.7,"Key detection performance indicator"
"Security Event Monitoring Coverage","Percentage of critical systems with active monitoring","Monitored systems / Critical systems * 100",de,1,higher_is_better,100.0,%,SecOps,"SIEM system",weekly,97.5,"24/7 monitoring capability"
"False Positive Rate","Percentage of security alerts that are false positives","False positive alerts / Total alerts * 100",de,2,lower_is_better,20.0,%,SecOps,"SIEM system",monthly,28.3,"Alert tuning effectiveness"
"Log Retention Compliance","Percentage of systems meeting log retention requirements","Compliant log retention / Total systems * 100",de,2,higher_is_better,95.0,%,IT Ops,"Log management system",monthly,91.2,"Regulatory compliance"
"Threat Intelligence Integration","Number of threat intelligence feeds actively integrated","Count of active threat intel feeds",de,2,higher_is_better,5.0,count,SecOps,"Threat intelligence platform",monthly,3.0,"IOC and TTP integration"
"Network Traffic Analysis Coverage","Percentage of network traffic analyzed for threats","Analyzed traffic / Total traffic * 100",de,3,higher_is_better,80.0,%,"Network Security","Network monitoring tools",weekly,72.1,"Deep packet inspection"
"Anomaly Detection Effectiveness","Percentage of actual threats identified by anomaly detection","Detected threats / Total threats * 100",de,3,higher_is_better,70.0,%,SecOps,"UEBA system",monthly,63.2,"Behavioral analysis accuracy"
"Mean Time to Respond (MTTR)","Average time from incident detection to initial response","Sum of response times / Number of incidents",rs,1,lower_is_better,24.0,hours,"IR Team","Incident management system",monthly,31.2,"Containment speed"
"Incident Response Plan Activation","Percentage of incidents with formal IR plan activation","IR plan activations / Total incidents * 100",rs,1,higher_is_better,90.0,%,"IR Team","Incident management system",monthly,84.7,"Process adherence"
"Communication Plan Execution","Percentage of incidents with timely stakeholder communication","Timely communications / Total incidents * 100",rs,2,higher_is_better,85.0,%,"IR Team","Communication tracking",monthly,78.9,"Internal and external comms"
"Containment Effectiveness","Percentage of incidents successfully contained within SLA","Contained incidents / Total incidents * 100",rs,2,higher_is_better,95.0,%,"IR Team","Incident management system",monthly,89.3,"2-hour containment SLA"
"Evidence Collection Success","Percentage of incidents with proper evidence collection","Incidents with evidence / Total incidents * 100",rs,2,higher_is_better,90.0,%,"IR Team","Digital forensics tools",monthly,82.1,"Legal and forensic requirements"
"Post-Incident Review Completion","Percentage of incidents with completed post-incident reviews","Completed reviews / Total incidents * 100",rs,3,higher_is_better,80.0,%,"IR Team","Incident management system",monthly,71.4,"Lessons learned documentation"
"Threat Hunt Execution","Number of proactive threat hunts conducted per month","Count of threat hunting activities",rs,3,higher_is_better,4.0,"per month",SecOps,"Threat hunting platform",monthly,3.0,"Proactive threat detection"
"Backup Restore Success Rate","Percentage of backup restore tests that succeed","Successful restores / Total restore tests * 100",rc,1,higher_is_better,98.0,%,"Backup Admin","Backup system",monthly,95.7,"Business continuity validation"
"Recovery Time Objective (RTO) Achievement","Percentage of systems meeting RTO during tests","Systems meeting RTO / Total systems tested * 100",rc,1,higher_is_better,90.0,%,BCP,"DR testing results",quarterly,87.2,"Service restoration speed"
"Recovery Point Objective (RPO) Achievement","Percentage of systems meeting RPO during tests","Systems meeting RPO / Total systems tested * 100",rc,1,higher_is_better,95.0,%,BCP,"DR testing results",quarterly,91.8,"Data loss minimization"
"Business Continuity Plan Testing","Frequency of business continuity plan testing","Count of BCP tests per year",rc,2,higher_is_better,2.0,"per year",BCP,"BC management system",quarterly,1.0,"Semi-annual full tests"
"Communication System Redundancy","Percentage of communication systems with backup capability","Redundant comm systems / Total comm systems * 100",rc,2,higher_is_better,90.0,%,IT Ops,"Communication system monitoring",monthly,83.1,"Emergency communications"
"Vendor Recovery Coordination","Percentage of critical vendors with recovery agreements","Vendors with agreements / Critical vendors * 100",rc,3,higher_is_better,80.0,%,"Vendor Mgmt","Vendor management system",quarterly,72.5,"Third-party recovery planning"
"Staff Recovery Training","Percentage of critical staff trained on recovery procedures","Trained staff / Critical staff * 100",rc,3,higher_is_better,85.0,%,"HR/Training","Training management system",quarterly,79.3,"Recovery team readiness"
